time,stim_pitch,stim_roll,stim_yaw,stim_trans_ap,stim_trans_ml,stim_trans_ud,stim_scale,xpos,ypos,zpos,xrot,yrot,zrot,shld_xpos,shld_ypos,shld_zpos,shld_xrot,shld_yrot,shld_zrot,hip_xpos,hip_ypos,hip_zpos,hip_xrot,hip_yrot,hip_zrot,lhand_xpos,lhand_ypos,lhand_zpos,lhand_xrot,lhand_yrot,lhand_zrot,rhand_xpos,rhand_ypos,rhand_zpos,rhand_xrot,rhand_yrot,rhand_zrot,lfoot_xpos,lfoot_ypos,lfoot_zpos,lfoot_xrot,lfoot_yrot,lfoot_zrot,rfoot_xpos,rfoot_ypos,rfoot_zpos,rfoot_xrot,rfoot_yrot,rfoot_zrot,analog0,analog1,analog2,analog3,analog4,analog5,analog6,analog7,analog8,analog9,analog10,analog11,analog12,analog13
0,-0.0111965332,0,0,0,0,0,1,0.0502939969,0.7566135,-0.7986473,318.758942,173.434647,359.2215,0.148761809,1.46622956,-0.349195361,355.1255,185.9304,224.999985,0.154194474,1.02291656,-0.3325851,21.7109566,180.491882,198.377777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9824967384338379,-1.5246126651763916,-0.011196533218026161,-2.74524188041687,-0.011117614805698395,-3.0809605121612549,-0.47634097933769226,-3.4331727027893066,-0.069517150521278381,-3.3311314582824707,-4.24255895614624,-5.6815547943115234,-6.8810343742370605,-8.0585737228393555
0.0109863281,-0.0111965332,0,0,0,0,0,1,0.05031939,0.7566074,-0.7986194,318.767975,173.438416,359.223083,0.148765743,1.46622443,-0.3492477,355.136078,185.946167,225.001419,0.154188633,1.02290463,-0.3325864,21.7140045,180.489334,198.37674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9824967384338379,-1.5246126651763916,-0.011196533218026161,-2.74524188041687,-0.011117614805698395,-3.0809605121612549,-0.47634097933769226,-3.4331727027893066,-0.069517150521278381,-3.3311314582824707,-4.24255895614624,-5.6815547943115234,-6.8810343742370605,-8.0585737228393555
0.0218505859,-0.0114332885,0,0,0,0,0,1,0.0502806455,0.756595969,-0.7986299,318.78186,173.447647,359.211029,0.148764551,1.46614528,-0.349276066,355.140045,185.941177,225.006332,0.154249012,1.02293408,-0.332684636,21.7203522,180.477539,198.376328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9824967384338379,-1.1800553798675537,-0.01143328845500946,-2.4913618564605713,-0.01143328845500946,-2.9680283069610596,-0.47381559014320374,-3.3853483200073242,-0.067859873175621033,-3.306272029876709,-4.2329306602478027,-5.6686124801635742,-6.8726687431335449,-8.0498933792114258
0.0329589844,-0.0112754516,0,0,0,0,0,1,0.0502945334,0.7565851,-0.798587441,318.807281,173.4488,359.207,0.14875263,1.4661119,-0.349321961,355.147644,185.943924,225.009338,0.154254913,1.02291679,-0.332721,21.7227859,180.47197,198.3746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9822597503662109,-1.1371238231658936,-0.011275451630353928,-2.4462206363677979,-0.011117614805698395,-2.9386706352233887,-0.47200044989585876,-3.3690121173858643,-0.068885810673236847,-3.2953813076019287,-4.2151741981506348,-5.6502246856689453,-6.8515186309814453,-8.03000545501709
0.0444335938,-0.0112754516,0,0,0,0,0,1,0.0502591878,0.7565019,-0.7985281,318.800568,173.451721,359.200348,0.148766577,1.46615171,-0.3493842,355.1616,185.945618,225.011078,0.154253125,1.02288294,-0.332705975,21.7224159,180.475067,198.3846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9822597503662109,-1.1371238231658936,-0.011275451630353928,-2.4462206363677979,-0.011117614805698395,-2.9386706352233887,-0.47200044989585876,-3.3690121173858643,-0.068885810673236847,-3.2953813076019287,-4.2151741981506348,-5.6502246856689453,-6.8515186309814453,-8.03000545501709
0.0554199219,-0.0112754516,0,0,0,0,0,1,0.05030884,0.7564193,-0.798517346,318.79364,173.444839,359.1997,0.1487726,1.46611881,-0.3494234,355.1638,185.944855,225.016235,0.154265523,1.02285635,-0.3327514,21.7282658,180.463409,198.3803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9825758934021,-1.1314417123794556,-0.011275451630353928,-2.4508767127990723,-0.011354370042681694,-2.9416697025299072,-0.47121128439903259,-3.3669602870941162,-0.0691225603222847,-3.2981436252593994,-4.2139902114868164,-5.6473832130432129,-6.8464679718017578,-8.0220346450805664
0.06652832,-0.0114332885,0,0,0,0,0,1,0.050333336,0.756425858,-0.798475146,318.774353,173.451614,359.206268,0.14883846,1.466154,-0.3494892,355.160828,185.9494,225.015381,0.1542992,1.02286744,-0.332806945,21.7338066,180.464417,198.382065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9823389053344727,-1.1244180202484131,-0.01143328845500946,-2.4422745704650879,-0.011117614805698395,-2.94174861907959,-0.46813347935676575,-3.3718533515930176,-0.0677020326256752,-3.3038256168365479,-4.2188835144042969,-5.6561431884765625,-6.85136079788208,-8.023219108581543
0.07775879,-0.01135437,0,0,0,0,0,1,0.050322488,0.756411552,-0.7984594,318.7589,173.443359,359.217346,0.1488136,1.46614575,-0.349586844,355.164948,185.945679,225.011826,0.154300869,1.0228672,-0.332856655,21.7394581,180.452072,198.378342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9825758934021,-1.11494779586792,-0.011354370042681694,-2.4222292900085449,-0.011117614805698395,-2.9315681457519531,-0.46379294991493225,-3.3696434497833252,-0.06841229647397995,-3.3027997016906738,-4.2217245101928711,-5.661036491394043,-6.8611469268798828,-8.040501594543457
0.08874512,-0.01135437,0,0,0,0,0,1,0.0504194647,0.756431937,-0.7984363,318.760773,173.445068,359.215027,0.148852646,1.46612453,-0.349619627,355.157623,185.941422,225.013733,0.154321313,1.02286887,-0.332918763,21.7459564,180.4555,198.389175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9825758934021,-1.11494779586792,-0.011354370042681694,-2.4222292900085449,-0.011117614805698395,-2.9315681457519531,-0.46379294991493225,-3.3696434497833252,-0.06841229647397995,-3.3027997016906738,-4.2217245101928711,-5.661036491394043,-6.8611469268798828,-8.040501594543457
0.0998535156,-0.0115122069,0,0,0,0,0,1,0.0504785329,0.756515,-0.798451066,318.7665,173.446945,359.2117,0.148830116,1.46615362,-0.349707,355.159027,185.9362,225.0081,0.154383361,1.02287424,-0.332965136,21.7563171,180.4631,198.392578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9824180603027344,-1.1252861022949219,-0.011512206867337227,-2.4275169372558594,-0.011275451630353928,-2.9302265644073486,-0.45945245027542114,-3.3578057289123535,-0.065176650881767273,-3.2960128784179688,-4.2185678482055664,-5.655827522277832,-6.861936092376709,-8.0432643890380859
