ConditionRunId,Timestamp,ElapsedTime,SampleCount,Time,Camera_pos_x,Camera_pos_y,Camera_pos_z,Camera_rot_x,Camera_rot_y,Camera_rot_z,Screen_pos_x,Screen_pos_y,Screen_pos_z,Screen_rot_x,Screen_rot_y,Screen_rot_z,LeftShoulder_pos_x,LeftShoulder_pos_y,LeftShoulder_pos_z,LeftShoulder_rot_x,LeftShoulder_rot_y,LeftShoulder_rot_z,RightShoulder_pos_x,RightShoulder_pos_y,RightShoulder_pos_z,RightShoulder_rot_x,RightShoulder_rot_y,RightShoulder_rot_z
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:45.9818930Z,0.0000000,0,0.03198242,8.803035,-0.5516112,-0.8174915,359.706,358.1042,358.9297,8.797998,-0.7005925,2.4,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:45.9955000Z,0.0136070,1,0.08447266,8.803094,-0.5518184,-0.8175367,359.8101,358.1603,359.0546,8.797998,-0.7005925,2.4,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.0026650Z,0.0207720,2,0.09283447,8.803097,-0.5518653,-0.817508,359.8266,358.1567,359.0589,8.797998,-0.7005925,2.4,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.0117150Z,0.0298220,3,0.1013184,8.803081,-0.5518458,-0.8175156,359.8443,358.163,359.0608,8.797998,-0.7005925,2.4,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.0245320Z,0.0426390,4,0.1135254,8.803066,-0.551892,-0.8175308,359.8624,358.1603,359.0754,8.797998,-0.7005925,2.4,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.0321680Z,0.0502750,5,0.1219482,8.803064,-0.5519545,-0.8175566,359.8715,358.162,359.076,8.797998,-0.7005925,2.4,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.0453790Z,0.0634860,6,0.1356812,8.803035,-0.5520108,-0.8176281,359.8982,358.1733,359.0946,8.797998,-0.7005925,2.4,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.0771640Z,0.0952710,7,0.1677246,8.803112,-0.5520089,-0.8177098,359.9021,358.1843,359.1163,8.797998,-0.7005925,2.4,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.0863750Z,0.1044820,8,0.1760254,8.803158,-0.5519986,-0.8177652,359.9047,358.1894,359.1317,8.797998,-0.7005925,2.4,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.1020550Z,0.1201620,9,0.1925049,8.803143,-0.551967,-0.817837,359.8781,358.2046,359.1386,8.797998,-0.7005925,2.4,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.1236910Z,0.1417980,10,0.213623,8.803244,-0.5519689,-0.8179556,359.8696,358.2203,359.1389,8.797998,-0.7005925,2.4,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.1491460Z,0.1672530,11,0.2394409,8.803321,-0.5519807,-0.8180132,359.8829,358.2336,359.137,8.797998,-0.7005925,2.4,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.1686230Z,0.1867300,12,0.2585449,8.80342,-0.5520413,-0.817987,359.8964,358.2467,359.1568,8.797998,-0.7005925,2.4,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.1912730Z,0.2093800,13,0.2814331,8.803503,-0.5520214,-0.817862,359.9292,358.2506,359.1404,8.797998,-0.7005925,2.400007,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.2142640Z,0.2323710,14,0.3044434,8.803517,-0.5521128,-0.8177642,359.947,358.2565,359.1169,8.797998,-0.7005925,2.40016,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.2348150Z,0.2529220,15,0.3252563,8.803624,-0.5521562,-0.817678,0.006286856,358.2535,359.1144,8.797998,-0.7005925,2.4003,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.2574700Z,0.2755770,16,0.3476563,8.803699,-0.5521865,-0.8176515,0.0420538,358.2686,359.0797,8.797998,-0.7005925,2.400453,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.2801610Z,0.2982680,17,0.3703613,8.803685,-0.5522223,-0.8177533,0.05144706,358.2798,359.056,8.797998,-0.7005925,2.4006,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
c1759c75-7ab3-4253-a659-68d6f526e6b6,2025-05-19T11:15:46.3013100Z,0.3194170,18,0.3912354,8.803731,-0.5521545,-0.8177061,0.01030611,358.2923,359.0656,8.797998,-0.7005925,2.40074,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0,8.786273,-2.190593,-0.7896194,0,0,0
