time,stim_pitch,stim_roll,stim_yaw,stim_trans_ap,stim_trans_ml,stim_trans_ud,stim_scale,xpos,ypos,zpos,xrot,yrot,zrot,shld_xpos,shld_ypos,shld_zpos,shld_xrot,shld_yrot,shld_zrot,hip_xpos,hip_ypos,hip_zpos,hip_xrot,hip_yrot,hip_zrot,lhand_xpos,lhand_ypos,lhand_zpos,lhand_xrot,lhand_yrot,lhand_zrot,rhand_xpos,rhand_ypos,rhand_zpos,rhand_xrot,rhand_yrot,rhand_zrot,lfoot_xpos,lfoot_ypos,lfoot_zpos,lfoot_xrot,lfoot_yrot,lfoot_zrot,rfoot_xpos,rfoot_ypos,rfoot_zpos,rfoot_xrot,rfoot_yrot,rfoot_zrot,analog0,analog1,analog2,analog3,analog4,analog5,analog6,analog7,analog8,analog9,analog10,analog11,analog12,analog13
0,-0.0111965332,0,0,0,0,0,1,0.0533864051,0.7595353,-0.7902554,319.170258,173.228958,358.946045,0.135379732,1.47256184,-0.349212885,354.451874,187.482452,223.752457,0.15044421,1.01965415,-0.329517126,24.6055565,184.899841,200.106735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9824180603027344,-1.529584527015686,-0.011196533218026161,-2.7502927780151367,-0.011196533218026161,-3.0779614448547363,-0.45274439454078674,-3.4177837371826172,0.021320922300219536,-3.2675232887268066,-4.1720848083496094,-5.615973949432373,-6.8193202018737793,-8.0017528533935547
0.0107421875,-0.0111965332,0,0,0,0,0,1,0.05338557,0.759506464,-0.790275,319.174683,173.235855,358.94046,0.135297835,1.47256243,-0.349259257,354.46582,187.496948,223.755325,0.150468469,1.0196557,-0.329490423,24.6329174,184.90274,200.090073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9824180603027344,-1.529584527015686,-0.011196533218026161,-2.7502927780151367,-0.011196533218026161,-3.0779614448547363,-0.45274439454078674,-3.4177837371826172,0.021320922300219536,-3.2675232887268066,-4.1720848083496094,-5.615973949432373,-6.8193202018737793,-8.0017528533935547
0.0217285156,-0.0115122069,0,0,0,0,0,1,0.05338432,0.7594726,-0.7902831,319.166779,173.244751,358.939331,0.135314047,1.47255313,-0.349379182,354.476318,187.496979,223.7632,0.150511742,1.01964927,-0.3295591,24.64123,184.902374,200.0915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9825758934021,-1.1782402992248535,-0.011512206867337227,-2.5100655555725098,-0.011512206867337227,-2.973315954208374,-0.44729903340339661,-3.3728792667388916,0.014532956294715405,-3.2542650699615479,-4.1630878448486328,-5.603978157043457,-6.8091397285461426,-7.9895997047424316
0.0327148438,-0.0112754516,0,0,0,0,0,1,0.05336298,0.759430051,-0.79025805,319.1733,173.23877,358.937744,0.135335684,1.4724952,-0.349437356,354.469666,187.494766,223.76355,0.1503241,1.01959252,-0.329828262,24.5970688,184.885574,200.104813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9824180603027344,-1.1218925714492798,-0.011275451630353928,-2.4548225402832031,-0.011117614805698395,-2.9481408596038818,-0.43846020102500916,-3.3582003116607666,0.0093235867097973824,-3.2498455047607422,-4.1596946716308594,-5.6017684936523438,-6.8035364151000977,-7.9820232391357422
0.0439453125,-0.0112754516,0,0,0,0,0,1,0.0534346849,0.759462953,-0.7902335,319.162781,173.248947,358.9368,0.135370314,1.47248077,-0.349563241,354.474884,187.494247,223.766876,0.150289834,1.01963425,-0.329836369,24.6194954,184.902,200.114761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9824180603027344,-1.1218925714492798,-0.011275451630353928,-2.4548225402832031,-0.011117614805698395,-2.9481408596038818,-0.43846020102500916,-3.3582003116607666,0.0093235867097973824,-3.2498455047607422,-4.1596946716308594,-5.6017684936523438,-6.8035364151000977,-7.9820232391357422
0.05517578,-0.01135437,0,0,0,0,0,1,0.0533815175,0.7594495,-0.7902998,319.164185,173.236557,358.938843,0.13537389,1.47253561,-0.349676,354.470947,187.493729,223.772217,0.150289,1.01970589,-0.32974565,24.6206112,184.923843,200.12764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9824967384338379,-1.1057933568954468,-0.011354370042681694,-2.4252283573150635,-0.011275451630353928,-2.9324362277984619,-0.43727642297744751,-3.3497562408447266,0.0081396391615271568,-3.2534759044647217,-4.1652979850769043,-5.6095027923583984,-6.8141117095947266,-7.9937033653259277
0.06616211,-0.0111965332,0,0,0,0,0,1,0.0534209758,0.759486437,-0.7902788,319.165955,173.239059,358.9344,0.135434449,1.47245049,-0.34973073,354.466644,187.4908,223.772461,0.1502577,1.019666,-0.329760075,24.62351,184.934921,200.12027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9822597503662109,-1.12039315700531,-0.011196533218026161,-2.4303579330444336,-0.011117614805698395,-2.9280955791473389,-0.432935893535614,-3.3448631763458252,0.0065610427409410477,-3.2523708343505859,-4.16695499420166,-5.606661319732666,-6.8103232383728027,-7.9890470504760742
0.07739258,-0.0111965332,0,0,0,0,0,1,0.0534076244,0.7595074,-0.7902471,319.1573,173.231171,358.937622,0.1354363,1.4724288,-0.349815369,354.4789,187.4999,223.776627,0.1502862,1.01967955,-0.329922438,24.60895,184.932953,200.136765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9825758934021,-1.1207877397537231,-0.011196533218026161,-2.4386444091796875,-0.011354370042681694,-2.9361453056335449,-0.4281218945980072,-3.3435215950012207,0.0046667265705764294,-3.2452683448791504,-4.1609573364257813,-5.6011371612548828,-6.80874490737915,-7.9906253814697266
0.0883789063,-0.0111965332,0,0,0,0,0,1,0.0534004122,0.759500742,-0.7902731,319.161469,173.225479,358.9426,0.1355269,1.47235775,-0.34986937,354.491119,187.511108,223.773575,0.150302768,1.01967084,-0.329886317,24.6124477,184.9255,200.139755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9825758934021,-1.1207877397537231,-0.011196533218026161,-2.4386444091796875,-0.011354370042681694,-2.9361453056335449,-0.4281218945980072,-3.3435215950012207,0.0046667265705764294,-3.2452683448791504,-4.1609573364257813,-5.6011371612548828,-6.80874490737915,-7.9906253814697266
0.0993652344,-0.0115911243,0,0,0,0,0,1,0.05337669,0.7594992,-0.7902869,319.158081,173.233292,358.9394,0.135552764,1.47234464,-0.349943161,354.494781,187.512741,223.776886,0.150244117,1.019626,-0.3298874,24.6191578,184.932724,200.151932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9824180603027344,-1.1211034059524536,-0.011591124348342419,-2.4488248825073242,-0.011275451630353928,-2.9450631141662598,-0.42591217160224915,-3.3452577590942383,0.0022199016530066729,-3.2487406730651855,-4.158116340637207,-5.5986909866333008,-6.8035364151000977,-7.9805240631103516
0.1105957,-0.0112754516,0,0,0,0,0,1,0.0533422381,0.7594316,-0.7902256,319.165283,173.243515,358.925446,0.1355635,1.47232985,-0.349977374,354.5035,187.520569,223.791748,0.150356412,1.01944971,-0.3298502,24.6144352,184.916061,200.132065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9824967384338379,-1.1073716878890991,-0.011275451630353928,-2.4360401630401611,-0.011117614805698395,-2.9387495517730713,-0.42362356185913086,-3.3451788425445557,0.0008780944044701755,-3.248030424118042,-4.1577215194702148,-5.5963234901428223,-6.7998270988464355,-7.97713041305542
0.121582031,-0.0112754516,0,0,0,0,0,1,0.053326264,0.759418964,-0.7902049,319.167664,173.244492,358.9302,0.135535717,1.47228754,-0.350007176,354.506378,187.519318,223.790543,0.15034914,1.0194515,-0.329803228,24.6232452,184.9202,200.128525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9824967384338379,-1.1073716878890991,-0.011275451630353928,-2.4360401630401611,-0.011117614805698395,-2.9387495517730713,-0.42362356185913086,-3.3451788425445557,0.0008780944044701755,-3.248030424118042,-4.1577215194702148,-5.5963234901428223,-6.7998270988464355,-7.97713041305542
0.1328125,-0.0114332885,0,0,0,0,0,1,0.053312555,0.7594104,-0.790199161,319.163574,173.239883,358.928619,0.135525346,1.47228909,-0.350049376,354.507965,187.531647,223.7996,0.150232136,1.01940668,-0.3299054,24.6081352,184.911591,200.141922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9824967384338379,-1.1042149066925049,-0.01143328845500946,-2.4192304611206055,-0.01143328845500946,-2.9282534122467041,-0.42307111620903015,-3.3353140354156494,0.0013516733888536692,-3.2511081695556641,-4.1667971611022949,-5.6103706359863281,-6.8137168884277344,-7.990941047668457
0.143798828,-0.0111176148,0,0,0,0,0,1,0.0533474833,0.759480238,-0.790187,319.15976,173.2325,358.93335,0.135570109,1.47229445,-0.350119829,354.518036,187.536942,223.8041,0.150240481,1.01939893,-0.3299297,24.6136875,184.912048,200.152222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9822597503662109,-1.1114754676818848,-0.011117614805698395,-2.4276747703552246,-0.011038696393370628,-2.9308578968048096,-0.42338678240776062,-3.3392601013183594,-0.0010949913412332535,-3.2505557537078857,-4.1665606498718262,-5.60745096206665,-6.8137955665588379,-7.9975700378417969
