time,stim_pitch,stim_roll,stim_yaw,stim_trans_ap,stim_trans_ml,stim_trans_ud,stim_scale,xpos,ypos,zpos,xrot,yrot,zrot,shld_xpos,shld_ypos,shld_zpos,shld_xrot,shld_yrot,shld_zrot,hip_xpos,hip_ypos,hip_zpos,hip_xrot,hip_yrot,hip_zrot,lhand_xpos,lhand_ypos,lhand_zpos,lhand_xrot,lhand_yrot,lhand_zrot,rhand_xpos,rhand_ypos,rhand_zpos,rhand_xrot,rhand_yrot,rhand_zrot,lfoot_xpos,lfoot_ypos,lfoot_zpos,lfoot_xrot,lfoot_yrot,lfoot_zrot,rfoot_xpos,rfoot_ypos,rfoot_zpos,rfoot_xrot,rfoot_yrot,rfoot_zrot,analog0,analog1,analog2,analog3,analog4,analog5,analog6,analog7,analog8,analog9,analog10,analog11,analog12,analog13
0,-0.0111176148,0,0,0,0,0,1,0.0525009781,0.7586235,-0.792695165,319.2403,173.31015,359.015442,0.0996649861,1.51403141,-0.3233049,354.247528,189.258347,220.611,0.135911763,1.05414188,-0.299598217,28.0090771,181.170822,194.649429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9822597503662109,-1.4797871112823486,-0.011117614805698395,-2.7226712703704834,-0.011038696393370628,-3.0667550563812256,-0.865013599395752,-3.65122389793396,0.418811559677124,-3.1142640113830566,-3.9548227787017822,-5.4421167373657227,-6.64940881729126,-7.8361821174621582
0.0107421875,-0.0111176148,0,0,0,0,0,1,0.052466765,0.7585274,-0.792697549,319.2254,173.310654,359.015472,0.09940761,1.51377141,-0.323494315,354.234619,189.237839,220.572067,0.135690689,1.05390966,-0.2998613,27.9835777,181.1745,194.654526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9822597503662109,-1.4797871112823486,-0.011117614805698395,-2.7226712703704834,-0.011038696393370628,-3.0667550563812256,-0.865013599395752,-3.65122389793396,0.418811559677124,-3.1142640113830566,-3.9548227787017822,-5.4421167373657227,-6.64940881729126,-7.8361821174621582
0.0213623047,-0.0112754516,0,0,0,0,0,1,0.0525078923,0.7585287,-0.792697549,319.2328,173.309525,359.0199,0.09911704,1.51352715,-0.323598146,354.25882,189.265854,220.543472,0.135577619,1.053745,-0.2999972,27.9911633,181.192825,194.665466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9826545715332031,-1.1322308778762817,-0.011275451630353928,-2.4838645458221436,-0.011275451630353928,-2.9612412452697754,-0.85641145706176758,-3.6015055179595947,0.42331057786941528,-3.0951657295227051,-3.9316997528076172,-5.41425895690918,-6.6267595291137695,-7.8168473243713379
0.0325927734,-0.0115122069,0,0,0,0,0,1,0.05252011,0.7585162,-0.7927264,319.2414,173.314377,359.019531,0.09880072,1.513263,-0.32379365,354.258484,189.271439,220.532059,0.13539505,1.05341816,-0.300174475,28.0120773,181.221024,194.689285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9823389053344727,-1.083538293838501,-0.011512206867337227,-2.4337513446807861,-0.011117614805698395,-2.9374868869781494,-0.85175532102584839,-3.5905358791351318,0.42520490288734436,-3.0905094146728516,-3.9254651069641113,-5.4053411483764648,-6.6117649078369141,-7.7954607009887695
0.0437011719,-0.0111965332,0,0,0,0,0,1,0.0525256544,0.7585298,-0.7927724,319.2423,173.32106,359.011871,0.09856892,1.51306939,-0.323967457,354.2723,189.27565,220.530624,0.135280013,1.05300212,-0.3002609,28.06102,181.253662,194.702682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9825758934021,-1.0593104362487793,-0.011196533218026161,-2.4197039604187012,-0.011117614805698395,-2.9342513084411621,-0.85230773687362671,-3.5955076217651367,0.42394199967384338,-3.0959548950195313,-3.9246759414672852,-5.4126014709472656,-6.6139745712280273,-7.7974333763122559
0.05480957,-0.0111965332,0,0,0,0,0,1,0.0525123626,0.7585516,-0.7927698,319.24942,173.315109,359.015625,0.0984030962,1.51291585,-0.324133515,354.280579,189.2604,220.525116,0.13514,1.05284393,-0.30034852,28.1083546,181.284119,194.7181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9825758934021,-1.0593104362487793,-0.011196533218026161,-2.4197039604187012,-0.011117614805698395,-2.9342513084411621,-0.85230773687362671,-3.5955076217651367,0.42394199967384338,-3.0959548950195313,-3.9246759414672852,-5.4126014709472656,-6.6139745712280273,-7.7974333763122559
0.06628418,-0.01135437,0,0,0,0,0,1,0.0525176078,0.7585684,-0.7927946,319.2415,173.307175,359.016968,0.0982058048,1.512872,-0.324339747,354.272064,189.262527,220.508286,0.134875357,1.05264425,-0.300522447,28.1312,181.305435,194.7416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9825758934021,-1.0537861585617065,-0.011354370042681694,-2.4054198265075684,-0.01143328845500946,-2.9225714206695557,-0.86004173755645752,-3.5936925411224365,0.42315271496772766,-3.0999796390533447,-3.9302000999450684,-5.4195461273193359,-6.6267595291137695,-7.8160581588745117
0.07714844,-0.0111176148,0,0,0,0,0,1,0.0525359064,0.7585503,-0.7927214,319.239075,173.322052,358.9993,0.09801775,1.51277375,-0.3245437,354.27066,189.252533,220.492691,0.134666085,1.05251694,-0.300666332,28.1698666,181.311279,194.742752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9821810722351074,-1.0612833499908447,-0.011117614805698395,-2.4046306610107422,-0.011117614805698395,-2.9228081703186035,-0.86596059799194336,-3.5919563770294189,0.42394199967384338,-3.09169340133667,-3.9262542724609375,-5.4126014709472656,-6.6238393783569336,-7.8152689933776855
0.0881347656,-0.0111176148,0,0,0,0,0,1,0.0525301844,0.7585348,-0.7927445,319.2246,173.31575,359.010773,0.09785539,1.51278329,-0.324792147,354.272949,189.275375,220.4864,0.13452822,1.0525074,-0.3006891,28.18051,181.310287,194.731461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9821810722351074,-1.0612833499908447,-0.011117614805698395,-2.4046306610107422,-0.011117614805698395,-2.9228081703186035,-0.86596059799194336,-3.5919563770294189,0.42394199967384338,-3.09169340133667,-3.9262542724609375,-5.4126014709472656,-6.6238393783569336,-7.8152689933776855
0.0992431641,-0.01135437,0,0,0,0,0,1,0.05250992,0.7585808,-0.792739034,319.227722,173.315811,359.01712,0.0977062,1.51279974,-0.3250196,354.263123,189.281784,220.469147,0.134292245,1.05247521,-0.300797224,28.18852,181.335144,194.724915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9826545715332031,-1.0758043527603149,-0.011354370042681694,-2.4227817058563232,-0.011354370042681694,-2.9248600006103516,-0.873931348323822,-3.5916407108306885,0.42204770445823669,-3.09106183052063,-3.9214403629302979,-5.4051833152771,-6.6142115592956543,-7.8055620193481445
0.110351563,-0.0114332885,0,0,0,0,0,1,0.05256255,0.7586322,-0.7925807,319.227753,173.31192,359.012543,0.0975950956,1.51278377,-0.325216174,354.2741,189.303619,220.468323,0.134095311,1.05250645,-0.300957561,28.1843414,181.369019,194.725479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9822597503662109,-1.0685439109802246,-0.01143328845500946,-2.4261753559112549,-0.011117614805698395,-2.9352772235870361,-0.87582540512084961,-3.6050567626953125,0.42141625285148621,-3.1017158031463623,-3.924912691116333,-5.4093656539916992,-6.6137380599975586,-7.798853874206543
0.121459961,-0.0111965332,0,0,0,0,0,1,0.0525632054,0.7586447,-0.7925991,319.226685,173.31218,359.0205,0.0974399447,1.51289916,-0.325376034,354.285278,189.323868,220.479156,0.133966565,1.05262315,-0.301077366,28.190197,181.405792,194.732452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9825758934021,-1.0565482378005981,-0.011196533218026161,-2.4127593040466309,-0.011196533218026161,-2.9347248077392578,-0.88316476345062256,-3.6112914085388184,0.41810119152069092,-3.1058197021484375,-3.931936502456665,-5.4189939498901367,-6.6221823692321777,-7.8116388320922852
0.134277344,-0.0111965332,0,0,0,0,0,1,0.0525466949,0.7586583,-0.7926041,319.232025,173.313126,359.012,0.0972718,1.51302052,-0.325568318,354.283875,189.351486,220.482742,0.133806467,1.05276537,-0.301218629,28.1905155,181.439941,194.727509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9825758934021,-1.0565482378005981,-0.011196533218026161,-2.4127593040466309,-0.011196533218026161,-2.9347248077392578,-0.88316476345062256,-3.6112914085388184,0.41810119152069092,-3.1058197021484375,-3.931936502456665,-5.4189939498901367,-6.6221823692321777,-7.8116388320922852
