time,stim_pitch,stim_roll,stim_yaw,stim_trans_ap,stim_trans_ml,stim_trans_ud,stim_scale,xpos,ypos,zpos,xrot,yrot,zrot,shld_xpos,shld_ypos,shld_zpos,shld_xrot,shld_yrot,shld_zrot,hip_xpos,hip_ypos,hip_zpos,hip_xrot,hip_yrot,hip_zrot,lhand_xpos,lhand_ypos,lhand_zpos,lhand_xrot,lhand_yrot,lhand_zrot,rhand_xpos,rhand_ypos,rhand_zpos,rhand_xrot,rhand_yrot,rhand_zrot,lfoot_xpos,lfoot_ypos,lfoot_zpos,lfoot_xrot,lfoot_yrot,lfoot_zrot,rfoot_xpos,rfoot_ypos,rfoot_zpos,rfoot_xrot,rfoot_yrot,rfoot_zrot,analog0,analog1,analog2,analog3,analog4,analog5,analog6,analog7,analog8,analog9,analog10,analog11,analog12,analog13
0,-0.0115122069,0,0,0,0,0,1,0.0527745038,0.759058356,-0.7920786,319.096069,173.2582,359.049622,0.146867812,1.511355,-0.3146206,355.4324,188.6168,224.095947,0.149387479,1.06957161,-0.29581356,22.5509872,183.588974,198.125534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9825758934021,-1.5531811714172363,-0.011512206867337227,-2.7637088298797607,-0.011354370042681694,-3.0855376720428467,-0.93509304523468018,-3.7010214328765869,-0.1060563251376152,-3.4387760162353516,-4.3139796257019043,-5.7593684196472168,-6.9417223930358887,-8.1209192276000977
0.0108642578,-0.0111176148,0,0,0,0,0,1,0.05279471,0.7590637,-0.7920753,319.095032,173.2565,359.045654,0.146903276,1.51130259,-0.314610481,355.430481,188.630264,224.101517,0.149396777,1.06952417,-0.295755267,22.5559731,183.605972,198.127258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9824967384338379,-1.1880261898040771,-0.011117614805698395,-2.4925456047058105,-0.011117614805698395,-2.9677126407623291,-0.93540871143341064,-3.6544597148895264,-0.105109304189682,-3.4210982322692871,-4.3073506355285645,-5.750056266784668,-6.9414854049682617,-8.1181573867797852
0.0222167969,-0.0111176148,0,0,0,0,0,1,0.05269976,0.7589786,-0.7920991,319.09024,173.2594,359.04364,0.146965265,1.51136947,-0.314635158,355.43338,188.6382,224.110748,0.149382651,1.06954789,-0.295710564,22.5635719,183.6218,198.133987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9824967384338379,-1.1880261898040771,-0.011117614805698395,-2.4925456047058105,-0.011117614805698395,-2.9677126407623291,-0.93540871143341064,-3.6544597148895264,-0.105109304189682,-3.4210982322692871,-4.3073506355285645,-5.750056266784668,-6.9414854049682617,-8.1181573867797852
0.0330810547,-0.0112754516,0,0,0,0,0,1,0.0527064949,0.758978248,-0.7920834,319.087341,173.25885,359.037628,0.146955132,1.51138759,-0.314652562,355.430359,188.647018,224.112976,0.14932543,1.06961966,-0.295678616,22.5637913,183.627075,198.137131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9826545715332031,-1.1510134935379028,-0.011275451630353928,-2.4506399631500244,-0.01143328845500946,-2.9373290538787842,-0.93967026472091675,-3.635124683380127,-0.10550389438867569,-3.4142322540283203,-4.3000903129577637,-5.7464256286621094,-6.93604040145874,-8.1160268783569336
0.0443115234,-0.0112754516,0,0,0,0,0,1,0.0527227074,0.7589824,-0.7920555,319.088257,173.270233,359.02774,0.146956921,1.51140833,-0.314718485,355.431458,188.656433,224.124,0.149250746,1.06963027,-0.295739055,22.562603,183.6479,198.140137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9823389053344727,-1.1533809900283813,-0.011275451630353928,-2.448035717010498,-0.011038696393370628,-2.9383549690246582,-0.94124865531921387,-3.6395440101623535,-0.10755576938390732,-3.4152584075927734,-4.29425048828125,-5.7344303131103516,-6.9225454330444336,-8.09803295135498
0.0556640625,-0.0112754516,0,0,0,0,0,1,0.0527619869,0.759009838,-0.792066932,319.089966,173.26445,359.029663,0.14697051,1.51142991,-0.3147508,355.4361,188.668243,224.124237,0.149233937,1.06965613,-0.2957337,22.57309,183.6506,198.144852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9825758934021,-1.1512502431869507,-0.011275451630353928,-2.4581372737884521,-0.011275451630353928,-2.9473516941070557,-0.942827045917511,-3.6430165767669678,-0.10676658898591995,-3.4189674854278564,-4.2948026657104492,-5.7401123046875,-6.92783260345459,-8.10142707824707
0.06665039,-0.0112754516,0,0,0,0,0,1,0.0527895838,0.759117961,-0.7920357,319.098053,173.262421,359.034454,0.147018075,1.51141357,-0.314700842,355.4387,188.67186,224.1204,0.149260283,1.06960821,-0.295791745,22.5775967,183.637512,198.147751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9825758934021,-1.1512502431869507,-0.011275451630353928,-2.4581372737884521,-0.011275451630353928,-2.9473516941070557,-0.942827045917511,-3.6430165767669678,-0.10676658898591995,-3.4189674854278564,-4.2948026657104492,-5.7401123046875,-6.92783260345459,-8.10142707824707
0.07727051,-0.0115911243,0,0,0,0,0,1,0.0527649075,0.7591599,-0.7920011,319.094574,173.252213,359.0489,0.147069573,1.51147127,-0.314743757,355.441254,188.658691,224.1259,0.14925462,1.06960821,-0.295811534,22.573103,183.636963,198.1487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9824967384338379,-1.1376762390136719,-0.011591124348342419,-2.4470887184143066,-0.011196533218026161,-2.9443528652191162,-0.93746060132980347,-3.6446738243103027,-0.11205411702394485,-3.4236235618591309,-4.301668643951416,-5.7480831146240234,-6.9347777366638184,-8.10805606842041
0.0883789063,-0.0111965332,0,0,0,0,0,1,0.05279745,0.759171,-0.792004943,319.087524,173.255341,359.0393,0.1471042,1.51148117,-0.314787149,355.434662,188.663757,224.132553,0.14928025,1.06967926,-0.2957592,22.561882,183.6542,198.171509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9825758934021,-1.137439489364624,-0.011196533218026161,-2.429253101348877,-0.011117614805698395,-2.9337778091430664,-0.94353729486465454,-3.6427009105682373,-0.11213303357362747,-3.4240970611572266,-4.3037204742431641,-5.749819278717041,-6.9394335746765137,-8.1145267486572266
0.0998535156,-0.0111965332,0,0,0,0,0,1,0.05277355,0.7592132,-0.7919959,319.093262,173.252975,359.0432,0.1471414,1.51150775,-0.314812064,355.4406,188.669739,224.141418,0.14923203,1.06959867,-0.295786023,22.57059,183.658386,198.184891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9825758934021,-1.137439489364624,-0.011196533218026161,-2.429253101348877,-0.011117614805698395,-2.9337778091430664,-0.94353729486465454,-3.6427009105682373,-0.11213303357362747,-3.4240970611572266,-4.3037204742431641,-5.749819278717041,-6.9394335746765137,-8.1145267486572266
0.110717773,-0.0114332885,0,0,0,0,0,1,0.0527905971,0.759236,-0.7919756,319.0974,173.25087,359.047882,0.147099435,1.51154506,-0.314821362,355.439331,188.67189,224.155243,0.149234533,1.06951022,-0.295825243,22.576746,183.661713,198.196213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9825758934021,-1.1474621295928955,-0.01143328845500946,-2.43690824508667,-0.011512206867337227,-2.9329097270965576,-0.94353729486465454,-3.6379656791687012,-0.11678921431303024,-3.4170734882354736,-4.2996954917907715,-5.7452421188354492,-6.9359612464904785,-8.1153955459594727
0.1217041,-0.0111965332,0,0,0,0,0,1,0.052823022,0.759249568,-0.7919284,319.095825,173.255188,359.03302,0.1470998,1.51154518,-0.3148203,355.445923,188.6612,224.163651,0.149220824,1.06959534,-0.295926332,22.5962086,183.66893,198.2156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9823389053344727,-1.1551961898803711,-0.011196533218026161,-2.4536387920379639,-0.011117614805698395,-2.9408805370330811,-0.94598376750946045,-3.6443581581115723,-0.12247133255004883,-3.4230711460113525,-4.2981171607971191,-5.7379026412963867,-6.9228610992431641,-8.09566593170166
0.133056641,-0.0111965332,0,0,0,0,0,1,0.0527695566,0.7592076,-0.7918781,319.0923,173.25116,359.0492,0.147194445,1.51151967,-0.314801335,355.4396,188.6557,224.183731,0.149108708,1.06964588,-0.2959038,22.6093311,183.675461,198.236877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9823389053344727,-1.1551961898803711,-0.011196533218026161,-2.4536387920379639,-0.011117614805698395,-2.9408805370330811,-0.94598376750946045,-3.6443581581115723,-0.12247133255004883,-3.4230711460113525,-4.2981171607971191,-5.7379026412963867,-6.9228610992431641,-8.09566593170166
0.14440918,-0.0112754516,0,0,0,0,0,1,0.05275257,0.75916934,-0.7918309,319.0912,173.255814,359.0379,0.147238433,1.51151145,-0.314793825,355.4356,188.649246,224.196213,0.149083436,1.06980824,-0.295913339,22.6126556,183.678329,198.248215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9825758934021,-1.1489616632461548,-0.011275451630353928,-2.4564011096954346,-0.011275451630353928,-2.9464836120605469,-0.9429059624671936,-3.6460154056549072,-0.12965290248394012,-3.4326202869415283,-4.3056144714355469,-5.7551069259643555,-6.9354090690612793,-8.10892391204834
0.155273438,-0.0114332885,0,0,0,0,0,1,0.0527324826,0.759125,-0.7917911,319.077972,173.2607,359.031525,0.147351086,1.51153266,-0.314828038,355.4259,188.636932,224.203873,0.149022937,1.06983423,-0.2959597,22.60078,183.6825,198.278122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9824180603027344,-1.1449368000030518,-0.01143328845500946,-2.4448790550231934,-0.011117614805698395,-2.9423010349273682,-0.9418799877166748,-3.6508293151855469,-0.1333620548248291,-3.4409067630767822,-4.3176889419555664,-5.765129566192627,-6.9475622177124023,-8.1210775375366211
